id,name,descr,file_format_code,model,file_txt,module_id,module_name,template_typ_code,lang_code,is_active,cr_by,cr_dtimes
1101,Template for authorization content,Template for authorization content,txt,velocity,Dear $name Your Authentication of $idvidType $idvid using $authType on $date at $time Hrs $status at a device deployed by MOSIP Services,10004,ID Authentication,auth-email-content,eng,TRUE,superadmin,now()
1102,Template for authorization subject,Template for authorization subject,txt,velocity,$idvidType $idvid Authentication $status,10004,ID Authentication,auth-email-subject,eng,TRUE,superadmin,now()
1103,Template for authorization SMS,Template for authorization SMS,txt,velocity,Your Authentication of $idvidType $idvid using $authType on $date at $time Hrs $status at a device deployed by MOSIP Services.,10004,ID Authentication,auth-sms,eng,TRUE,superadmin,now()
1101,Modèle de contenu dautorisation,Modèle de contenu dautorisation,txt,velocity,"Cher $name, Votre authentification $idvidType $idvid utilisant $authType le $date à $time Hrs $status sur un périphérique déployé par ""MOSIP Services""",10004,Authentification ID,auth-email-content,fra,TRUE,superadmin,now()
1102,Modèle pour sujet dautorisation,Modèle pour sujet dautorisation,txt,velocity,$idvidType $idvid: $status dauthentification,10004,Authentification ID,auth-email-subject,fra,TRUE,superadmin,now()
1103,Modèle de SMS dautorisation,Modèle de SMS dautorisation,txt,velocity,"Votre authentification $idvidType $idvid utilisant $authType le $date à $time Hrs $status sur un périphérique déployé par ""MOSIP Services"".",10004,Authentification ID,auth-sms,fra,TRUE,superadmin,now()
1101,نموذج لمحتوى الترخيص,نموذج لمحتوى الترخيص,txt,velocity,عزيزي $name، تمت مصادقتك بواسطة $authType على $idvidType $idvid في تاريخ $date في تمام الساعة $time بتوقيت المنطقة، حيث كانت الحالة $status على جهاز نشره خدمات MOSIP.,10004,مصادقة الهوية,auth-email-content,ara,TRUE,superadmin,now()
1102,نموذج لموضوع التفويض,نموذج لموضوع التفويض,txt,velocity,$authType $idvidType $idvid المصادقة $status,10004,مصادقة الهوية,auth-email-subject,ara,TRUE,superadmin,now()
1103,نموذج SMS إذن,نموذج SMS إذن,txt,velocity,مصادقتك على $idvidType $idvid باستخدام $authType في $date في تمام الساعة $time بتوقيت المنطقة، حيث كانت الحالة $status على جهاز نشرته خدمات MOSIP.,10004,مصادقة الهوية,auth-sms,ara,TRUE,superadmin,now()
1107,Template for duplicate UIN Email,Template for duplicate UIN Email,txt,velocity,"Dear $!fullName_eng, Your request for UIN for Registration ID: $!RID has failed because a duplicate UIN has been found against your details. Please visit your nearest Registration office or visit https://mosip.io/grievances Thank You",10003,Registration Processor,RPR_DUP_UIN_EMAIL,eng,TRUE,superadmin,now()
1108,Template for duplicate UIN SMS,Template for duplicate UIN SMS,txt,velocity,"Dear $!fullName_eng, Your request for UIN for Registration ID: $!RID has failed because a duplicate UIN has been found against your details. Please visit your nearest Registration office or visit https://mosip.io/grievances",10003,Registration Processor,RPR_DUP_UIN_SMS,eng,TRUE,superadmin,now()
