code,descr,lang_code,is_active,cr_by,cr_dtimes
auth-email-content,Template for authorization content,eng,TRUE,admin,now()
auth-email-subject,Template for authorization subject,eng,TRUE,admin,now()
auth-sms,Template for authorization SMS,eng,TRUE,admin,now()
RPR_DUP_UIN_EMAIL,Template for duplicate UIN Email,eng,TRUE,admin,now()
RPR_DUP_UIN_SMS,Template for duplicate UIN SMS,eng,TRUE,admin,now()
RPR_TEC_ISSUE_EMAIL,Template for Technical Issue Email,eng,TRUE,admin,now()
RPR_TEC_ISSUE_SMS,Template for Technical Issue SMS,eng,TRUE,admin,now()
RPR_UIN_GEN_EMAIL,Template for UIN generation Email,eng,TRUE,admin,now()
RPR_UIN_GEN_SMS,Template for UIN generation SMS,eng,TRUE,admin,now()
RPR_UIN_UPD_EMAIL,Template for update details Email,eng,TRUE,admin,now()
RPR_UIN_UPD_SMS,Template for update Details SMS,eng,TRUE,admin,now()
NewReg-email-content-template,Template for new registration Email Content,eng,TRUE,admin,now()
NewReg-email-subject-template,Template for new registration Email Subject,eng,TRUE,admin,now()
NewReg-sms-template,Template for new registration SMS,eng,TRUE,admin,now()
OTP-email-content-template,Template for OTP generation Email Content,eng,TRUE,admin,now()
OTP-email-subject-template,Template for OTP generation Email Subject,eng,TRUE,admin,now()
OTP-sms-template,Template for OTP SMS,eng,TRUE,admin,now()
Update-email-content-template,Template for update registration Email Content,eng,TRUE,admin,now()
Update-email-subject-template,Template for update registration Email Subject,eng,TRUE,admin,now()
Update-sms-template,Template for update registration SMS,eng,TRUE,admin,now()
Email-Acknowledgement,Template for Email Acknowledgement,eng,TRUE,admin,now()
Onscreen-Acknowledgement,Template for Onscreen Acknowledgment,eng,TRUE,admin,now()
SMS-Acknowledgement,Template for SMS Acknowledgement,eng,TRUE,admin,now()
Acknowledgement-email-subject,Template for email subject of Acknowledgement,eng,TRUE,admin,now()
RPR_UIN_CARD_TEMPLATE,UIN card template,eng,TRUE,admin,now()
RPR_UIN_DEAC_SMS,Template for UIN Deactivation SMS,eng,TRUE,admin,now()
RPR_UIN_DEAC_EMAIL,Template for UIN Deactivation Email,eng,TRUE,admin,now()
RPR_UIN_REAC_SMS,Template for UIN Reactivate SMS,eng,TRUE,admin,now()
RPR_UIN_REAC_EMAIL,Template for UIN Reactivate Email,eng,TRUE,admin,now()
reg-sms-notification,Registration Acknowledgement Template,eng,TRUE,admin,now()
reg-email-notification,Registration Acknowledgement Template,eng,TRUE,admin,now()
auth-otp-sms-template,auth otp service for sending otp,eng,TRUE,admin,now()
auth-otp-email-subject-template,auth otp email service subject,eng,TRUE,admin,now()
auth-otp-email-content-template,auth otp email service subject,eng,TRUE,admin,now()
ida-auth-otp-email-content-template,Template for Email Content,eng,TRUE,admin,now()
ida-auth-otp-email-subject-template,Template for Email Subject,eng,TRUE,admin,now()
ida-auth-otp-sms-template,Template for OTP in SMS,eng,TRUE,admin,now()
consent,Consent,eng,TRUE,admin,now()
updateUIN-email-notification,Registration Acknowledgement Template,eng,TRUE,admin,now()
updateUIN-sms-notification,Registration Acknowledgement Template,eng,TRUE,admin,now()
lostUIN-email-notification,Registration Acknowledgement Template,eng,TRUE,admin,now()
lostUIN-sms-notification,Registration Acknowledgement Template,eng,TRUE,admin,now()
cancel-appointment,Template for Cancel Appointment,eng,TRUE,admin,now()
RPR_LOST_UIN_SMS,Lost UIN Notification SMS,eng,TRUE,admin,now()
RPR_LOST_UIN_EMAIL,Lost UIN Notification Email,eng,TRUE,admin,now()
RPR_MASKED_UIN_CARD_TEMPLATE,Masked UIN card template,eng,TRUE,admin,now()
RS_AUTH_HIST_SUCCESS_EMAIL,Authentication History Request Success Email,eng,TRUE,admin,now()
RS_AUTH_HIST_SUCCESS_SMS,Authentication History Request Success SMS,eng,TRUE,admin,now()
RS_AUTH_HIST_SUCCESS_EMAIL_SUB,Authentication History Request Success EMAIL Subject,eng,TRUE,admin,now()
RS_DOW_UIN_SUCCESS_EMAIL,Successful Download of e-UIN Email,eng,TRUE,admin,now()
RS_DOW_UIN_SUCCESS_EMAIL_SUB,Download e-UIN Status Email Subject,eng,TRUE,admin,now()
RS_DOW_UIN_SUCCESS_SMS,Successful Download of e-UIN SMS,eng,TRUE,admin,now()
RS_LOCK_AUTH_SUCCESS_EMAIL,Successful Locking of Auth Types Email,eng,TRUE,admin,now()
RS_LOCK_AUTH_SUCCESS_EMAIL_SUB,Successful Locking of Auth Types Email Subject,eng,TRUE,admin,now()
RS_LOCK_AUTH_SUCCESS_SMS,Successful Locking of Auth Types SMS,eng,TRUE,admin,now()
RS_UNLOCK_AUTH_SUCCESS_EMAIL,Successful Unlocking of Auth Types Email,eng,TRUE,admin,now()
RS_UNLOCK_AUTH_SUCCESS_EMAIL_SUB,Successful Unlocking of Auth Types Email Subject,eng,TRUE,admin,now()
RS_UNLOCK_AUTH_SUCCESS_SMS,Successful Unlocking of Auth Types SMS,eng,TRUE,admin,now()
RS_VIN_GEN_SUCCESS_EMAIL,VID Generation Success Email,eng,TRUE,admin,now()
RS_VIN_GEN_SUCCESS_EMAIL_SUB,VID Generation Success Email Subject,eng,TRUE,admin,now()
RS_VIN_GEN_SUCCESS_SMS,VID Generation Success SMS,eng,TRUE,admin,now()
RS_VIN_REV_SUCCESS_EMAIL,VID Revocation Success Email,eng,TRUE,admin,now()
RS_VIN_REV_SUCCESS_EMAIL_SUB,VID Revocation Success Email Subject,eng,TRUE,admin,now()
RS_VIN_REV_SUCCESS_SMS,VID Revocation Success SMS,eng,TRUE,admin,now()
RS_UIN_RPR_SUCCESS_EMAIL,Reprint Request Success Email,eng,TRUE,admin,now()
RS_UIN_RPR_SUCCESS_EMAIL_SUB,Reprint Request Success Email Subject,eng,TRUE,admin,now()
RS_UIN_RPR_SUCCESS_SMS,Reprint Request Success SMS,eng,TRUE,admin,now()
RS_AUTH_HIST_FAILURE_EMAIL,Authentication History Request Failure Email,eng,TRUE,admin,now()
RS_AUTH_HIST_FAILURE_EMAIL_SUB,Authentication History Request Failure Email Subject,eng,TRUE,admin,now()
RS_AUTH_HIST_FAILURE_SMS,Authentication History Request Failure SMS,eng,TRUE,admin,now()
RS_DOW_UIN_FAILURE_EMAIL,Download e-UIN Failure Email,eng,TRUE,admin,now()
RS_DOW_UIN_FAILURE_EMAIL_SUB,Download e-UIN Failure Email Subject,eng,TRUE,admin,now()
RS_DOW_UIN_FAILURE_SMS,Download e-UIN Failure SMS,eng,TRUE,admin,now()
RS_LOCK_AUTH_FAILURE_EMAIL,Failure in Locking of Auth Types Email,eng,TRUE,admin,now()
RS_LOCK_AUTH_FAILURE_EMAIL_SUB,Failure in Locking of Auth Types Email Subject,eng,TRUE,admin,now()
RS_LOCK_AUTH_FAILURE_SMS,Failure in Locking of Auth Types SMS,eng,TRUE,admin,now()
RS_UIN_RPR_FAILURE_EMAIL,Reprint Request Failure Email,eng,TRUE,admin,now()
RS_UIN_RPR_FAILURE_EMAIL_SUB,Reprint Request Failure Email Subject,eng,TRUE,admin,now()
RS_UIN_RPR_FAILURE_SMS,Reprint Request Failure SMS,eng,TRUE,admin,now()
RS_UNLOCK_AUTH_FAILURE_EMAIL,Failure in Unlocking of Auth Types Email,eng,TRUE,admin,now()
RS_UNLOCK_AUTH_FAILURE_EMAIL_SUB,Failure in Unlocking of Auth Types Email Subject,eng,TRUE,admin,now()
RS_UNLOCK_AUTH_FAILURE_SMS,Failure in Unlocking of Auth Types SMS,eng,TRUE,admin,now()
RS_VIN_GEN_FAILURE_EMAIL,VID Generation Failure Email,eng,TRUE,admin,now()
RS_VIN_GEN_FAILURE_EMAIL_SUB,VID Generation Failure Email Subject,eng,TRUE,admin,now()
RS_VIN_GEN_FAILURE_SMS,VID Generation Failure SMS,eng,TRUE,admin,now()
RS_VIN_REV_FAILURE_EMAIL,VID Revocation Failure Email,eng,TRUE,admin,now()
RS_VIN_REV_FAILURE_EMAIL_SUB,VID Revocation Failure Email Subject,eng,TRUE,admin,now()
RS_VIN_REV_FAILURE_SMS,VID Revocation Failure SMS,eng,TRUE,admin,now()
RS_UIN_UPDATE_SUCCESS_EMAIL,UIN Update Request Placed Successfully Email,eng,TRUE,admin,now()
RS_UIN_UPDATE_SUCCESS_EMAIL_SUB,UIN Update Request Placed Successfully Email Subject,eng,TRUE,admin,now()
RS_UIN_UPDATE_SUCCESS_SMS,UIN Update Request Placed Successfully SMS,eng,TRUE,admin,now()
RS_UIN_UPDATE_FAILURE_EMAIL,UIN Update Request Failed Email,eng,TRUE,admin,now()
RS_UIN_UPDATE_FAILURE_EMAIL_SUB,UIN Update Request Failed Email Subject,eng,TRUE,admin,now()
